COD_PAR;COD_PAR_INV;TALHAO;MATGEN;PARCELA;LEVANTAMENTO;ANO;IDADE;DAP;DENSIDADE;AREABASAL;ALTURA;ALTURADOMINANTE;VOLUMECOMERCIAL;VOLUMETOTAL;S2;S1;PR;Classe Idade;NMED;SEQMED;NV;VC/VT;
90103-709-02_21;90103-709-02_21_IFC 2011;90103-709-02;Pinus taeda;21;IFC 2011;2011;9,5;21,3;1338,4;2,6;17,6;19,4;389,3;414,0;85,4;72,6;231,3;9,0;2;1;3,2;0,94;
90103-709-02_21;90103-709-02_21_IFC 2014;90103-709-02;Pinus taeda;21;IFC 2014;2014;11,8;22,7;1280,3;2,8;19,5;21,4;462,7;483,9;113,9;105,2;243,6;12,0;2;2;2,6;0,96;
90103-710-05_26;90103-710-05_26_IFC 2013;90103-710-05;Pinus taeda;26;IFC 2013;2013;7,1;17,0;1610,0;2,0;11,4;12,7;184,6;210,1;0,0;9,4;175,2;7,0;2;1;7,7;0,88;
90103-710-05_26;90103-710-05_26_IFC 2013;90103-710-05;Pinus taeda;26;IFC 2013;2013;8,0;18,1;1513,0;2,1;12,1;15,0;206,9;232,9;3,0;23,1;180,9;8,0;2;2;6,5;0,89;
90103-712-05_23;90103-712-05_23_IFC 2013;90103-712-05;Pinus taeda;23;IFC 2013;2013;7,1;18,5;1418,3;2,1;11,9;12,8;196,8;220,1;3,1;8,9;184,8;7,0;2;1;6,4;0,89;
90103-712-05_23;90103-712-05_23_IFC 2013;90103-712-05;Pinus taeda;23;IFC 2013;2013;8,0;19,3;1343,7;2,3;12,1;13,8;208,8;231,9;6,5;20,1;182,2;8,0;2;2;5,8;0,90;
90103-715-02_13;90103-715-02_13_IFC 2011;90103-715-02;Pinus taeda;13;IFC 2011;2011;9,5;20,8;1558,9;2,8;17,6;19,8;428,0;456,8;68,5;84,8;274,7;9,0;2;1;3,4;0,94;
90103-715-02_13;90103-715-02_13_IFC 2014;90103-715-02;Pinus taeda;13;IFC 2014;2014;11,8;22,2;1519,0;3,1;19,5;22,3;516,0;542,7;104,7;98,3;313,0;12,0;2;2;2,8;0,95;
90103-716-02_12;90103-716-02_12_IFC 2011;90103-716-02;Pinus taeda;12;IFC 2011;2011;9,5;20,5;1578,9;2,7;17,0;21,3;416,2;444,5;68,4;84,1;263,7;9,0;2;1;3,6;0,94;
90103-716-02_12;90103-716-02_12_IFC 2014;90103-716-02;Pinus taeda;12;IFC 2014;2014;11,8;21,7;1538,9;3,1;19,3;22,4;510,9;539,1;107,7;100,4;302,9;12,0;2;2;2,9;0,95;
90103-717-05_24;90103-717-05_24_IFC 2013;90103-717-05;Pinus taeda;24;IFC 2013;2013;7,1;16,4;1281,3;1,7;11,3;12,7;130,0;150,4;0,0;2,1;127,9;7,0;2;1;8,5;0,86;
90103-717-05_24;90103-717-05_24_IFC 2013;90103-717-05;Pinus taeda;24;IFC 2013;2013;8,0;17,2;1166,4;1,8;11,9;14,8;144,2;161,5;2,7;9,8;131,7;8,0;2;2;7,2;0,89;
90103-720-02_11;90103-720-02_11_IFC 2011;90103-720-02;Pinus taeda;11;IFC 2011;2011;9,5;20,7;1459,0;2,6;17,4;18,9;404,1;431,0;91,1;88,7;224,4;9,0;2;1;3,4;0,94;
90103-720-02_11;90103-720-02_11_IFC 2014;90103-720-02;Pinus taeda;11;IFC 2014;2014;11,8;22,7;1359,1;2,9;19,5;20,7;492,8;517,1;129,3;110,2;253,4;12,0;2;2;2,6;0,95;
90103-721-05_22;90103-721-05_22_IFC 2013;90103-721-05;Pinus taeda;22;IFC 2013;2013;7,1;18,5;1558,9;2,2;12,1;12,9;212,6;239,9;0,0;23,7;189,0;7,0;2;1;6,5;0,89;
90103-721-05_22;90103-721-05_22_IFC 2013;90103-721-05;Pinus taeda;22;IFC 2013;2013;7,9;19,5;1558,9;2,4;12,6;15,6;251,5;279,4;9,0;40,7;201,9;8,0;2;2;5,6;0,90;
90103-723-02_7;90103-723-02_7_IFC 2011;90103-723-02;Pinus taeda;7;IFC 2011;2011;9,5;21,1;1419,0;2,7;17,1;16,2;392,0;416,8;76,5;75,7;239,7;9,0;2;1;3,4;0,94;
90103-723-02_7;90103-723-02_7_IFC 2014;90103-723-02;Pinus taeda;7;IFC 2014;2014;11,8;21,8;1399,0;2,8;19,1;20,2;454,4;480,1;99,3;78,7;276,4;12,0;2;2;2,9;0,95;
90103-724-02_6;90103-724-02_6_IFC 2011;90103-724-02;Pinus taeda;6;IFC 2011;2011;9,5;20,1;1439,0;2,5;16,8;16,9;359,5;383,8;45,1;70,0;244,4;9,0;2;1;3,7;0,94;
90103-724-02_6;90103-724-02_6_IFC 2014;90103-724-02;Pinus taeda;6;IFC 2014;2014;11,8;20,6;1399,0;2,5;18,5;18,6;394,4;421,1;55,0;70,4;268,9;12,0;2;2;3,3;0,94;
90103-728-05_17;90103-728-05_17_IFC 2013;90103-728-05;Pinus taeda;17;IFC 2013;2013;7,1;18,2;1618,9;2,2;11,8;13,4;220,4;248,1;6,3;16,6;197,6;7,0;2;1;6,5;0,89;
90103-728-05_17;90103-728-05_17_IFC 2013;90103-728-05;Pinus taeda;17;IFC 2013;2013;7,9;19,3;1578,9;2,4;12,3;15,8;257,8;286,5;13,2;52,8;191,8;8,0;2;2;5,5;0,90;
90103-729-05_28;90103-729-05_28_IFC 2013;90103-729-05;Pinus taeda;28;IFC 2013;2013;7,1;18,5;1513,0;2,2;11,9;12,4;208,6;235,2;3,5;12,1;192,9;7,0;2;1;6,4;0,89;
90103-729-05_28;90103-729-05_28_IFC 2013;90103-729-05;Pinus taeda;28;IFC 2013;2013;7,9;19,6;1513,0;2,5;12,3;13,8;248,6;276,3;13,0;39,7;195,9;8,0;2;2;5,5;0,90;
90103-733-05_15;90103-733-05_15_IFC 2013;90103-733-05;Pinus taeda;15;IFC 2013;2013;7,1;18,2;1269,0;1,8;11,9;12,8;167,3;189,7;0,0;19,6;147,7;7,0;2;1;6,7;0,88;
90103-733-05_15;90103-733-05_15_IFC 2013;90103-733-05;Pinus taeda;15;IFC 2013;2013;7,9;19,4;1269,0;2,2;12,3;14,6;211,5;232,0;5,9;40,6;165,1;8,0;2;2;5,5;0,91;
90103-734-05_14;90103-734-05_14_IFC 2013;90103-734-05;Pinus taeda;14;IFC 2013;2013;7,1;16,7;1437,0;1,8;11,4;12,6;153,5;175,8;0,0;14,0;139,5;7,0;2;1;8,2;0,87;
90103-734-05_14;90103-734-05_14_IFC 2013;90103-734-05;Pinus taeda;14;IFC 2013;2013;7,9;18,0;1437,0;2,1;11,9;14,2;193,4;217,8;14,0;13,6;165,8;8,0;2;2;6,6;0,89;
90103-737-05_13;90103-737-05_13_IFC 2013;90103-737-05;Pinus taeda;13;IFC 2013;2013;7,1;18,4;1678,8;2,3;12,2;14,3;231,7;259,7;6,0;11,6;214,1;7,0;2;1;6,5;0,89;
90103-737-05_13;90103-737-05_13_IFC 2013;90103-737-05;Pinus taeda;13;IFC 2013;2013;7,9;19,5;1658,9;2,6;12,6;15,8;268,8;297,2;15,9;33,5;219,4;8,0;2;2;5,6;0,90;
